event,record,side,time_seconds,trial
recurring_load_peak_candidate,sub_1,L,2.82,1
recurring_load_peak_candidate,sub_1,L,4.07,1
recurring_load_peak_candidate,sub_1,L,5.19,1
recurring_load_peak_candidate,sub_1,L,6.66,1
recurring_load_peak_candidate,sub_1,L,7.77,1
recurring_load_peak_candidate,sub_1,L,8.88,1
recurring_load_peak_candidate,sub_1,L,9.85,1
recurring_load_peak_candidate,sub_1,L,11.04,1
recurring_load_peak_candidate,sub_1,L,12.23,1
recurring_load_peak_candidate,sub_1,L,13.49,1
recurring_load_peak_candidate,sub_1,L,14.78,1
recurring_load_peak_candidate,sub_1,L,15.97,1
recurring_load_peak_candidate,sub_1,R,2.55,1
recurring_load_peak_candidate,sub_1,R,3.44,1
recurring_load_peak_candidate,sub_1,R,4.54,1
recurring_load_peak_candidate,sub_1,R,5.67,1
recurring_load_peak_candidate,sub_1,R,6.8,1
recurring_load_peak_candidate,sub_1,R,7.9,1
recurring_load_peak_candidate,sub_1,R,9.0,1
recurring_load_peak_candidate,sub_1,R,10.05,1
recurring_load_peak_candidate,sub_1,R,11.3,1
recurring_load_peak_candidate,sub_1,R,12.51,1
recurring_load_peak_candidate,sub_1,R,13.77,1
recurring_load_peak_candidate,sub_1,R,15.04,1
recurring_load_peak_candidate,sub_1,L,3.4,2
recurring_load_peak_candidate,sub_1,L,4.45,2
recurring_load_peak_candidate,sub_1,L,5.61,2
recurring_load_peak_candidate,sub_1,L,6.68,2
recurring_load_peak_candidate,sub_1,L,7.78,2
recurring_load_peak_candidate,sub_1,L,9.0,2
recurring_load_peak_candidate,sub_1,L,9.86,2
recurring_load_peak_candidate,sub_1,L,11.4,2
recurring_load_peak_candidate,sub_1,L,12.7,2
recurring_load_peak_candidate,sub_1,L,13.86,2
recurring_load_peak_candidate,sub_1,L,14.81,2
recurring_load_peak_candidate,sub_1,R,2.48,2
recurring_load_peak_candidate,sub_1,R,3.62,2
recurring_load_peak_candidate,sub_1,R,4.68,2
recurring_load_peak_candidate,sub_1,R,5.78,2
recurring_load_peak_candidate,sub_1,R,6.88,2
recurring_load_peak_candidate,sub_1,R,7.99,2
recurring_load_peak_candidate,sub_1,R,9.14,2
recurring_load_peak_candidate,sub_1,R,10.38,2
recurring_load_peak_candidate,sub_1,R,11.62,2
recurring_load_peak_candidate,sub_1,R,12.85,2
recurring_load_peak_candidate,sub_1,R,14.08,2
recurring_load_peak_candidate,sub_1,R,15.35,2
recurring_load_peak_candidate,sub_1,L,3.76,3
