alternative_transition_end_seconds,alternative_transition_start_seconds,boundary_method,complete_six_phase,duration_seconds,excluded_incomplete_cycles,flags,gi_end_seconds,gt_start_seconds,imputed_signal_values,load_peaks_left,load_peaks_right,onset_seconds,phase_count,png,quality_json,record,reference_limb,remaining_missing_signal_values,segmented_csv,sequence_assumption,side,slt_end_seconds,slt_start_seconds,status,transition_improvement,transition_support,trial,view_mode
12.7,11.14,start trigger to FMG file/epoch end,True,32.61,0,All events provisional; pressure extrema are not heel-strike labels; reconstructed values can affect boundaries; absent phases are not invented; F start inferred from cross-record trigger clock calibration; No end trigger: window ends at observed FMG file/epoch end; ending may be incomplete,3.65,16.75,17454,12,12,3.11,6,Rishabh_1/trial_01_l_complete.png,"{""F"": {""missing"": false, ""coverage_fraction"": 0.687614960147149, ""gaps_over_100ms"": 13, ""repeated_reversed_timestamps"": 161, ""excluded_timestamp_outliers"": 0, ""invalid_rows"": 18, ""excluded_source_value_indices"": [], ""source"": ""dataset\\Sub06_H\\Rishabh_1"", ""source_start"": 356.5000000000002, ""source_end"": 389.11}, ""L"": {""missing"": false, ""coverage_fraction"": 0.8240343347639485, ""gaps_over_100ms"": 1, ""repeated_reversed_timestamps"": 0, ""excluded_timestamp_outliers"": 0, ""invalid_rows"": 6, ""excluded_source_value_indices"": [], ""source"": ""dataset\\Sub06_H\\Rishabh_1L"", ""source_start"": 1313.61, ""source_end"": 1346.2199999999998}, ""R"": {""missing"": false, ""coverage_fraction"": 0.9996934396076027, ""gaps_over_100ms"": 0, ""repeated_reversed_timestamps"": 0, ""excluded_timestamp_outliers"": 0, ""invalid_rows"": 5, ""excluded_source_value_indices"": [], ""source"": ""dataset\\Sub06_H\\Rishabh_1R"", ""source_start"": 1323.97, ""source_end"": 1356.58}}",Rishabh_1,L,0,segmented_data\Rishabh_1\trial_01_l_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",L,12.7,11.14,model-assisted provisional six-phase fit,0.3773,moderate pattern evidence,1,model_completed
12.7,11.14,start trigger to FMG file/epoch end,True,32.61,0,All events provisional; pressure extrema are not heel-strike labels; reconstructed values can affect boundaries; absent phases are not invented; F start inferred from cross-record trigger clock calibration; No end trigger: window ends at observed FMG file/epoch end; ending may be incomplete,3.65,16.75,17454,12,12,3.11,6,Rishabh_1/trial_01_r_complete.png,"{""F"": {""missing"": false, ""coverage_fraction"": 0.687614960147149, ""gaps_over_100ms"": 13, ""repeated_reversed_timestamps"": 161, ""excluded_timestamp_outliers"": 0, ""invalid_rows"": 18, ""excluded_source_value_indices"": [], ""source"": ""dataset\\Sub06_H\\Rishabh_1"", ""source_start"": 356.5000000000002, ""source_end"": 389.11}, ""L"": {""missing"": false, ""coverage_fraction"": 0.8240343347639485, ""gaps_over_100ms"": 1, ""repeated_reversed_timestamps"": 0, ""excluded_timestamp_outliers"": 0, ""invalid_rows"": 6, ""excluded_source_value_indices"": [], ""source"": ""dataset\\Sub06_H\\Rishabh_1L"", ""source_start"": 1313.61, ""source_end"": 1346.2199999999998}, ""R"": {""missing"": false, ""coverage_fraction"": 0.9996934396076027, ""gaps_over_100ms"": 0, ""repeated_reversed_timestamps"": 0, ""excluded_timestamp_outliers"": 0, ""invalid_rows"": 5, ""excluded_source_value_indices"": [], ""source"": ""dataset\\Sub06_H\\Rishabh_1R"", ""source_start"": 1323.97, ""source_end"": 1356.58}}",Rishabh_1,L,0,segmented_data\Rishabh_1\trial_01_r_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",R,12.7,11.14,model-assisted provisional six-phase fit,0.3773,moderate pattern evidence,1,model_completed
6.47,5.28,start trigger to FMG file/epoch end,True,30.46,0,All events provisional; pressure extrema are not heel-strike labels; reconstructed values can affect boundaries; absent phases are not invented; No end trigger: window ends at observed FMG file/epoch end; ending may be incomplete,3.25,16.03,9972,12,12,2.81,6,Rishabh_2/trial_01_l_complete.png,"{""F"": {""missing"": false, ""coverage_fraction"": 0.8280275680997703, ""gaps_over_100ms"": 14, ""repeated_reversed_timestamps"": 185, ""excluded_timestamp_outliers"": 2, ""invalid_rows"": 32, ""excluded_source_value_indices"": [305, 348], ""source"": ""dataset\\Sub06_H\\Rishabh_2"", ""source_start"": 437.55, ""source_end"": 468.01}, ""L"": {""missing"": false, ""coverage_fraction"": 0.7394158188382015, ""gaps_over_100ms"": 3, ""repeated_reversed_timestamps"": 0, ""excluded_timestamp_outliers"": 2, ""invalid_rows"": 5, ""excluded_source_value_indices"": [2741, 2799], ""source"": ""dataset\\Sub06_H\\Rishabh_2L"", ""source_start"": 1394.64, ""source_end"": 1425.1000000000001}, ""R"": {""missing"": false, ""coverage_fraction"": 1.0, ""gaps_over_100ms"": 0, ""repeated_reversed_timestamps"": 0, ""excluded_timestamp_outliers"": 0, ""invalid_rows"": 2, ""excluded_source_value_indices"": [], ""source"": ""dataset\\Sub06_H\\Rishabh_2R"", ""source_start"": 1405.0, ""source_end"": 1435.46}}",Rishabh_2,L,0,segmented_data\Rishabh_2\trial_01_l_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",L,6.47,5.28,model-assisted provisional six-phase fit,0.3704,moderate pattern evidence,1,model_completed
6.47,5.28,start trigger to FMG file/epoch end,True,30.46,0,All events provisional; pressure extrema are not heel-strike labels; reconstructed values can affect boundaries; absent phases are not invented; No end trigger: window ends at observed FMG file/epoch end; ending may be incomplete,3.25,16.03,9972,12,12,2.81,6,Rishabh_2/trial_01_r_complete.png,"{""F"": {""missing"": false, ""coverage_fraction"": 0.8280275680997703, ""gaps_over_100ms"": 14, ""repeated_reversed_timestamps"": 185, ""excluded_timestamp_outliers"": 2, ""invalid_rows"": 32, ""excluded_source_value_indices"": [305, 348], ""source"": ""dataset\\Sub06_H\\Rishabh_2"", ""source_start"": 437.55, ""source_end"": 468.01}, ""L"": {""missing"": false, ""coverage_fraction"": 0.7394158188382015, ""gaps_over_100ms"": 3, ""repeated_reversed_timestamps"": 0, ""excluded_timestamp_outliers"": 2, ""invalid_rows"": 5, ""excluded_source_value_indices"": [2741, 2799], ""source"": ""dataset\\Sub06_H\\Rishabh_2L"", ""source_start"": 1394.64, ""source_end"": 1425.1000000000001}, ""R"": {""missing"": false, ""coverage_fraction"": 1.0, ""gaps_over_100ms"": 0, ""repeated_reversed_timestamps"": 0, ""excluded_timestamp_outliers"": 0, ""invalid_rows"": 2, ""excluded_source_value_indices"": [], ""source"": ""dataset\\Sub06_H\\Rishabh_2R"", ""source_start"": 1405.0, ""source_end"": 1435.46}}",Rishabh_2,L,0,segmented_data\Rishabh_2\trial_01_r_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",R,6.47,5.28,model-assisted provisional six-phase fit,0.3704,moderate pattern evidence,1,model_completed
12.51,10.92,start trigger to FMG file/epoch end,True,31.21,0,All events provisional; pressure extrema are not heel-strike labels; reconstructed values can affect boundaries; absent phases are not invented; L start inferred from cross-record trigger clock calibration; No end trigger: window ends at observed FMG file/epoch end; ending may be incomplete,4.09,16.38,3768,12,11,3.66,6,Rishabh_3/trial_01_l_complete.png,"{""F"": {""missing"": false, ""coverage_fraction"": 0.9641255605381166, ""gaps_over_100ms"": 3, ""repeated_reversed_timestamps"": 202, ""excluded_timestamp_outliers"": 0, ""invalid_rows"": 8, ""excluded_source_value_indices"": [], ""source"": ""dataset\\Sub06_H\\Rishabh_3"", ""source_start"": 512.69, ""source_end"": 543.9}, ""L"": {""missing"": false, ""coverage_fraction"": 0.6838565022421524, ""gaps_over_100ms"": 2, ""repeated_reversed_timestamps"": 0, ""excluded_timestamp_outliers"": 0, ""invalid_rows"": 13, ""excluded_source_value_indices"": [], ""source"": ""dataset\\Sub06_H\\Rishabh_3L"", ""source_start"": 1469.7900000000004, ""source_end"": 1501.0000000000005}, ""R"": {""missing"": false, ""coverage_fraction"": 0.9996796925048046, ""gaps_over_100ms"": 0, ""repeated_reversed_timestamps"": 0, ""excluded_timestamp_outliers"": 0, ""invalid_rows"": 4, ""excluded_source_value_indices"": [], ""source"": ""dataset\\Sub06_H\\Rishabh_3R"", ""source_start"": 1480.14, ""source_end"": 1511.35}}",Rishabh_3,L,0,segmented_data\Rishabh_3\trial_01_l_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",L,12.51,10.92,model-assisted provisional six-phase fit,0.3809,moderate pattern evidence,1,model_completed
12.51,10.92,start trigger to FMG file/epoch end,True,31.21,0,All events provisional; pressure extrema are not heel-strike labels; reconstructed values can affect boundaries; absent phases are not invented; L start inferred from cross-record trigger clock calibration; No end trigger: window ends at observed FMG file/epoch end; ending may be incomplete,4.09,16.38,3768,12,11,3.66,6,Rishabh_3/trial_01_r_complete.png,"{""F"": {""missing"": false, ""coverage_fraction"": 0.9641255605381166, ""gaps_over_100ms"": 3, ""repeated_reversed_timestamps"": 202, ""excluded_timestamp_outliers"": 0, ""invalid_rows"": 8, ""excluded_source_value_indices"": [], ""source"": ""dataset\\Sub06_H\\Rishabh_3"", ""source_start"": 512.69, ""source_end"": 543.9}, ""L"": {""missing"": false, ""coverage_fraction"": 0.6838565022421524, ""gaps_over_100ms"": 2, ""repeated_reversed_timestamps"": 0, ""excluded_timestamp_outliers"": 0, ""invalid_rows"": 13, ""excluded_source_value_indices"": [], ""source"": ""dataset\\Sub06_H\\Rishabh_3L"", ""source_start"": 1469.7900000000004, ""source_end"": 1501.0000000000005}, ""R"": {""missing"": false, ""coverage_fraction"": 0.9996796925048046, ""gaps_over_100ms"": 0, ""repeated_reversed_timestamps"": 0, ""excluded_timestamp_outliers"": 0, ""invalid_rows"": 4, ""excluded_source_value_indices"": [], ""source"": ""dataset\\Sub06_H\\Rishabh_3R"", ""source_start"": 1480.14, ""source_end"": 1511.35}}",Rishabh_3,L,0,segmented_data\Rishabh_3\trial_01_r_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",R,12.51,10.92,model-assisted provisional six-phase fit,0.3809,moderate pattern evidence,1,model_completed
12.42,8.96,start trigger to FMG file/epoch end,True,33.410000000000004,0,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous; reconstructed values can affect boundaries; absent phases are not invented; No end trigger: window ends at observed FMG file/epoch end; ending may be incomplete,5.17,17.84,6784,12,12,4.35,6,Rishabh_4/trial_01_l_complete.png,"{""F"": {""missing"": false, ""coverage_fraction"": 0.9207061639736684, ""gaps_over_100ms"": 5, ""repeated_reversed_timestamps"": 209, ""excluded_timestamp_outliers"": 0, ""invalid_rows"": 21, ""excluded_source_value_indices"": [], ""source"": ""dataset\\Sub06_H\\Rishabh_4"", ""source_start"": 671.38, ""source_end"": 704.79}, ""L"": {""missing"": false, ""coverage_fraction"": 0.7103530819868342, ""gaps_over_100ms"": 4, ""repeated_reversed_timestamps"": 0, ""excluded_timestamp_outliers"": 0, ""invalid_rows"": 8, ""excluded_source_value_indices"": [], ""source"": ""dataset\\Sub06_H\\Rishabh_4L"", ""source_start"": 1628.48, ""source_end"": 1661.8899999999999}, ""R"": {""missing"": false, ""coverage_fraction"": 0.9090365050867744, ""gaps_over_100ms"": 4, ""repeated_reversed_timestamps"": 0, ""excluded_timestamp_outliers"": 1, ""invalid_rows"": 9, ""excluded_source_value_indices"": [3435], ""source"": ""dataset\\Sub06_H\\Rishabh_4R"", ""source_start"": 1638.85, ""source_end"": 1672.2599999999998}}",Rishabh_4,L,0,segmented_data\Rishabh_4\trial_01_l_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",L,11.22,10.04,model-assisted provisional six-phase fit,0.524,weak/ambiguous pattern evidence,1,model_completed
12.42,8.96,start trigger to FMG file/epoch end,True,33.410000000000004,0,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous; reconstructed values can affect boundaries; absent phases are not invented; No end trigger: window ends at observed FMG file/epoch end; ending may be incomplete,5.17,17.84,6784,12,12,4.35,6,Rishabh_4/trial_01_r_complete.png,"{""F"": {""missing"": false, ""coverage_fraction"": 0.9207061639736684, ""gaps_over_100ms"": 5, ""repeated_reversed_timestamps"": 209, ""excluded_timestamp_outliers"": 0, ""invalid_rows"": 21, ""excluded_source_value_indices"": [], ""source"": ""dataset\\Sub06_H\\Rishabh_4"", ""source_start"": 671.38, ""source_end"": 704.79}, ""L"": {""missing"": false, ""coverage_fraction"": 0.7103530819868342, ""gaps_over_100ms"": 4, ""repeated_reversed_timestamps"": 0, ""excluded_timestamp_outliers"": 0, ""invalid_rows"": 8, ""excluded_source_value_indices"": [], ""source"": ""dataset\\Sub06_H\\Rishabh_4L"", ""source_start"": 1628.48, ""source_end"": 1661.8899999999999}, ""R"": {""missing"": false, ""coverage_fraction"": 0.9090365050867744, ""gaps_over_100ms"": 4, ""repeated_reversed_timestamps"": 0, ""excluded_timestamp_outliers"": 1, ""invalid_rows"": 9, ""excluded_source_value_indices"": [3435], ""source"": ""dataset\\Sub06_H\\Rishabh_4R"", ""source_start"": 1638.85, ""source_end"": 1672.2599999999998}}",Rishabh_4,L,0,segmented_data\Rishabh_4\trial_01_r_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",R,11.22,10.04,model-assisted provisional six-phase fit,0.524,weak/ambiguous pattern evidence,1,model_completed
16.15,7.67,start trigger to FMG file/epoch end,True,52.9,0,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous; reconstructed values can affect boundaries; absent phases are not invented; F start inferred from cross-record trigger clock calibration; No end trigger: window ends at observed FMG file/epoch end; ending may be incomplete,5.48,19.17,22634,12,13,4.95,6,Rishabh_5/trial_01_l_complete.png,"{""F"": {""missing"": false, ""coverage_fraction"": 0.7546777546777547, ""gaps_over_100ms"": 25, ""repeated_reversed_timestamps"": 286, ""excluded_timestamp_outliers"": 1, ""invalid_rows"": 20, ""excluded_source_value_indices"": [5029], ""source"": ""dataset\\Sub06_H\\Rishabh_5"", ""source_start"": 761.9700000000003, ""source_end"": 814.87}, ""L"": {""missing"": false, ""coverage_fraction"": 0.824040824040824, ""gaps_over_100ms"": 5, ""repeated_reversed_timestamps"": 0, ""excluded_timestamp_outliers"": 0, ""invalid_rows"": 7, ""excluded_source_value_indices"": [], ""source"": ""dataset\\Sub06_H\\Rishabh_5L"", ""source_start"": 1719.09, ""source_end"": 1771.9899999999998}, ""R"": {""missing"": false, ""coverage_fraction"": 0.9996219996219996, ""gaps_over_100ms"": 0, ""repeated_reversed_timestamps"": 0, ""excluded_timestamp_outliers"": 0, ""invalid_rows"": 3, ""excluded_source_value_indices"": [], ""source"": ""dataset\\Sub06_H\\Rishabh_5R"", ""source_start"": 1729.44, ""source_end"": 1782.3399999999997}}",Rishabh_5,R,0,segmented_data\Rishabh_5\trial_01_l_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",L,13.59,12.49,model-assisted provisional six-phase fit,0.2338,weak/ambiguous pattern evidence,1,model_completed
16.15,7.67,start trigger to FMG file/epoch end,True,52.9,0,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous; reconstructed values can affect boundaries; absent phases are not invented; F start inferred from cross-record trigger clock calibration; No end trigger: window ends at observed FMG file/epoch end; ending may be incomplete,5.48,19.17,22634,12,13,4.95,6,Rishabh_5/trial_01_r_complete.png,"{""F"": {""missing"": false, ""coverage_fraction"": 0.7546777546777547, ""gaps_over_100ms"": 25, ""repeated_reversed_timestamps"": 286, ""excluded_timestamp_outliers"": 1, ""invalid_rows"": 20, ""excluded_source_value_indices"": [5029], ""source"": ""dataset\\Sub06_H\\Rishabh_5"", ""source_start"": 761.9700000000003, ""source_end"": 814.87}, ""L"": {""missing"": false, ""coverage_fraction"": 0.824040824040824, ""gaps_over_100ms"": 5, ""repeated_reversed_timestamps"": 0, ""excluded_timestamp_outliers"": 0, ""invalid_rows"": 7, ""excluded_source_value_indices"": [], ""source"": ""dataset\\Sub06_H\\Rishabh_5L"", ""source_start"": 1719.09, ""source_end"": 1771.9899999999998}, ""R"": {""missing"": false, ""coverage_fraction"": 0.9996219996219996, ""gaps_over_100ms"": 0, ""repeated_reversed_timestamps"": 0, ""excluded_timestamp_outliers"": 0, ""invalid_rows"": 3, ""excluded_source_value_indices"": [], ""source"": ""dataset\\Sub06_H\\Rishabh_5R"", ""source_start"": 1729.44, ""source_end"": 1782.3399999999997}}",Rishabh_5,R,0,segmented_data\Rishabh_5\trial_01_r_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",R,13.59,12.49,model-assisted provisional six-phase fit,0.2338,weak/ambiguous pattern evidence,1,model_completed
