alternative_transition_end_seconds,alternative_transition_start_seconds,boundary_method,complete_six_phase,duration_seconds,excluded_incomplete_cycles,flags,gi_end_seconds,gt_start_seconds,imputed_signal_values,load_peaks_left,load_peaks_right,onset_seconds,phase_count,png,quality_json,record,reference_limb,remaining_missing_signal_values,segmented_csv,sequence_assumption,side,slt_end_seconds,slt_start_seconds,status,transition_improvement,transition_support,trial,view_mode
16.95,6.51,paired trigger interval,True,25.55,0,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous; reconstructed values can affect boundaries; absent phases are not invented; ,3.73,21.65,4,11,12,2.84,6,jitu_1/trial_01_l_complete.png,"{""F"": {""coverage_fraction"": 1.0, ""source"": ""dataset\\Sub01_A\\jitu_1"", ""invalid_rows"": 3, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 178.32, ""aligned_master_end"": 203.87}, ""L"": {""coverage_fraction"": 0.9996087636932708, ""source"": ""dataset\\Sub01_A\\jitu_1L"", ""invalid_rows"": 4, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 178.32, ""aligned_master_end"": 203.87}, ""R"": {""coverage_fraction"": 0.9996087636932708, ""source"": ""dataset\\Sub01_A\\jitu_1R"", ""invalid_rows"": 2, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 178.32, ""aligned_master_end"": 203.87}}",jitu_1,R,0,segmented_data\jitu_1\trial_01_l_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",L,8.19,6.51,model-assisted provisional six-phase fit,0.3458,weak/ambiguous pattern evidence,1,model_completed
16.95,6.51,paired trigger interval,True,25.55,0,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous; reconstructed values can affect boundaries; absent phases are not invented; ,3.73,21.65,4,11,12,2.84,6,jitu_1/trial_01_r_complete.png,"{""F"": {""coverage_fraction"": 1.0, ""source"": ""dataset\\Sub01_A\\jitu_1"", ""invalid_rows"": 3, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 178.32, ""aligned_master_end"": 203.87}, ""L"": {""coverage_fraction"": 0.9996087636932708, ""source"": ""dataset\\Sub01_A\\jitu_1L"", ""invalid_rows"": 4, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 178.32, ""aligned_master_end"": 203.87}, ""R"": {""coverage_fraction"": 0.9996087636932708, ""source"": ""dataset\\Sub01_A\\jitu_1R"", ""invalid_rows"": 2, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 178.32, ""aligned_master_end"": 203.87}}",jitu_1,R,0,segmented_data\jitu_1\trial_01_r_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",R,8.19,6.51,model-assisted provisional six-phase fit,0.3458,weak/ambiguous pattern evidence,1,model_completed
9.92,6.6,paired trigger interval,True,25.23,0,All events provisional; pressure extrema are not heel-strike labels; terminal bilateral peak mismatch; reconstructed values can affect boundaries; absent phases are not invented; GT extended to later cadence-consistent pressure peak supported by strong FMG activity; ,3.0,22.13,4,8,12,1.72,6,jitu_1/trial_02_l_complete.png,"{""F"": {""coverage_fraction"": 1.0, ""source"": ""dataset\\Sub01_A\\jitu_1"", ""invalid_rows"": 3, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 213.6, ""aligned_master_end"": 238.83}, ""L"": {""coverage_fraction"": 0.9996038034865293, ""source"": ""dataset\\Sub01_A\\jitu_1L"", ""invalid_rows"": 4, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 213.6, ""aligned_master_end"": 238.83}, ""R"": {""coverage_fraction"": 0.9996038034865293, ""source"": ""dataset\\Sub01_A\\jitu_1R"", ""invalid_rows"": 2, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 213.6, ""aligned_master_end"": 238.83}}",jitu_1,R,0,segmented_data\jitu_1\trial_02_l_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",L,8.28,6.6,model-assisted provisional six-phase fit,0.4343,moderate pattern evidence,2,model_completed
9.92,6.6,paired trigger interval,True,25.23,0,All events provisional; pressure extrema are not heel-strike labels; terminal bilateral peak mismatch; reconstructed values can affect boundaries; absent phases are not invented; GT extended to later cadence-consistent pressure peak supported by strong FMG activity; ,3.0,22.13,4,8,12,1.72,6,jitu_1/trial_02_r_complete.png,"{""F"": {""coverage_fraction"": 1.0, ""source"": ""dataset\\Sub01_A\\jitu_1"", ""invalid_rows"": 3, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 213.6, ""aligned_master_end"": 238.83}, ""L"": {""coverage_fraction"": 0.9996038034865293, ""source"": ""dataset\\Sub01_A\\jitu_1L"", ""invalid_rows"": 4, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 213.6, ""aligned_master_end"": 238.83}, ""R"": {""coverage_fraction"": 0.9996038034865293, ""source"": ""dataset\\Sub01_A\\jitu_1R"", ""invalid_rows"": 2, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 213.6, ""aligned_master_end"": 238.83}}",jitu_1,R,0,segmented_data\jitu_1\trial_02_r_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",R,8.28,6.6,model-assisted provisional six-phase fit,0.4343,moderate pattern evidence,2,model_completed
7.57,5.87,paired trigger interval,True,24.91,0,All events provisional; pressure extrema are not heel-strike labels; reconstructed values can affect boundaries; absent phases are not invented; ,2.98,21.06,22,6,12,1.78,6,jitu_1/trial_03_l_complete.png,"{""F"": {""coverage_fraction"": 0.9995987158908507, ""source"": ""dataset\\Sub01_A\\jitu_1"", ""invalid_rows"": 3, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 247.42, ""aligned_master_end"": 272.33}, ""L"": {""coverage_fraction"": 0.9991974317817014, ""source"": ""dataset\\Sub01_A\\jitu_1L"", ""invalid_rows"": 4, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 247.42, ""aligned_master_end"": 272.33}, ""R"": {""coverage_fraction"": 0.9995987158908507, ""source"": ""dataset\\Sub01_A\\jitu_1R"", ""invalid_rows"": 2, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 247.42, ""aligned_master_end"": 272.33}}",jitu_1,R,0,segmented_data\jitu_1\trial_03_l_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",L,7.57,5.87,model-assisted provisional six-phase fit,0.3873,moderate pattern evidence,3,model_completed
7.57,5.87,paired trigger interval,True,24.91,0,All events provisional; pressure extrema are not heel-strike labels; reconstructed values can affect boundaries; absent phases are not invented; ,2.98,21.06,22,6,12,1.78,6,jitu_1/trial_03_r_complete.png,"{""F"": {""coverage_fraction"": 0.9995987158908507, ""source"": ""dataset\\Sub01_A\\jitu_1"", ""invalid_rows"": 3, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 247.42, ""aligned_master_end"": 272.33}, ""L"": {""coverage_fraction"": 0.9991974317817014, ""source"": ""dataset\\Sub01_A\\jitu_1L"", ""invalid_rows"": 4, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 247.42, ""aligned_master_end"": 272.33}, ""R"": {""coverage_fraction"": 0.9995987158908507, ""source"": ""dataset\\Sub01_A\\jitu_1R"", ""invalid_rows"": 2, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 247.42, ""aligned_master_end"": 272.33}}",jitu_1,R,0,segmented_data\jitu_1\trial_03_r_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",R,7.57,5.87,model-assisted provisional six-phase fit,0.3873,moderate pattern evidence,3,model_completed
18.94,8.77,paired trigger interval,True,24.990000000000002,0,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous; reconstructed values can affect boundaries; absent phases are not invented; ,3.6,22.46,16,12,12,2.68,6,jitu_1/trial_04_l_complete.png,"{""F"": {""coverage_fraction"": 0.9996, ""source"": ""dataset\\Sub01_A\\jitu_1"", ""invalid_rows"": 3, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 279.22, ""aligned_master_end"": 304.21}, ""L"": {""coverage_fraction"": 1.0, ""source"": ""dataset\\Sub01_A\\jitu_1L"", ""invalid_rows"": 4, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 279.22, ""aligned_master_end"": 304.21}, ""R"": {""coverage_fraction"": 1.0, ""source"": ""dataset\\Sub01_A\\jitu_1R"", ""invalid_rows"": 2, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 279.22, ""aligned_master_end"": 304.21}}",jitu_1,L,0,segmented_data\jitu_1\trial_04_l_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",L,18.94,17.61,model-assisted provisional six-phase fit,0.1959,weak/ambiguous pattern evidence,4,model_completed
18.94,8.77,paired trigger interval,True,24.990000000000002,0,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous; reconstructed values can affect boundaries; absent phases are not invented; ,3.6,22.46,16,12,12,2.68,6,jitu_1/trial_04_r_complete.png,"{""F"": {""coverage_fraction"": 0.9996, ""source"": ""dataset\\Sub01_A\\jitu_1"", ""invalid_rows"": 3, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 279.22, ""aligned_master_end"": 304.21}, ""L"": {""coverage_fraction"": 1.0, ""source"": ""dataset\\Sub01_A\\jitu_1L"", ""invalid_rows"": 4, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 279.22, ""aligned_master_end"": 304.21}, ""R"": {""coverage_fraction"": 1.0, ""source"": ""dataset\\Sub01_A\\jitu_1R"", ""invalid_rows"": 2, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 279.22, ""aligned_master_end"": 304.21}}",jitu_1,L,0,segmented_data\jitu_1\trial_04_r_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",R,18.94,17.61,model-assisted provisional six-phase fit,0.1959,weak/ambiguous pattern evidence,4,model_completed
11.73,4.88,paired trigger interval,True,23.12,0,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous; reconstructed values can affect boundaries; absent phases are not invented; ,1.93,19.45,6,11,12,0.81,6,jitu_1/trial_05_l_complete.png,"{""F"": {""coverage_fraction"": 1.0, ""source"": ""dataset\\Sub01_A\\jitu_1"", ""invalid_rows"": 3, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 311.24, ""aligned_master_end"": 334.36}, ""L"": {""coverage_fraction"": 0.9995676610462603, ""source"": ""dataset\\Sub01_A\\jitu_1L"", ""invalid_rows"": 4, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 311.24, ""aligned_master_end"": 334.36}, ""R"": {""coverage_fraction"": 0.9991353220925205, ""source"": ""dataset\\Sub01_A\\jitu_1R"", ""invalid_rows"": 2, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 311.24, ""aligned_master_end"": 334.36}}",jitu_1,R,0,segmented_data\jitu_1\trial_05_l_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",L,6.57,4.88,model-assisted provisional six-phase fit,0.3137,weak/ambiguous pattern evidence,5,model_completed
11.73,4.88,paired trigger interval,True,23.12,0,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous; reconstructed values can affect boundaries; absent phases are not invented; ,1.93,19.45,6,11,12,0.81,6,jitu_1/trial_05_r_complete.png,"{""F"": {""coverage_fraction"": 1.0, ""source"": ""dataset\\Sub01_A\\jitu_1"", ""invalid_rows"": 3, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 311.24, ""aligned_master_end"": 334.36}, ""L"": {""coverage_fraction"": 0.9995676610462603, ""source"": ""dataset\\Sub01_A\\jitu_1L"", ""invalid_rows"": 4, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 311.24, ""aligned_master_end"": 334.36}, ""R"": {""coverage_fraction"": 0.9991353220925205, ""source"": ""dataset\\Sub01_A\\jitu_1R"", ""invalid_rows"": 2, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 311.24, ""aligned_master_end"": 334.36}}",jitu_1,R,0,segmented_data\jitu_1\trial_05_r_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",R,6.57,4.88,model-assisted provisional six-phase fit,0.3137,weak/ambiguous pattern evidence,5,model_completed
